Order ID,Customer,Region,Channel,Amount,Activity,Timestamp,Order Status,Resource
SO-2026-0011,Acme Retail,Americas,Web,28586.28,Approve Order,2026-02-03T01:30:18Z,Approved,Order Desk
SO-2026-0004,Wonka Brands,APAC,Web,6873.49,Approve Order,2026-02-03T02:37:00Z,Approved,Order Desk
SO-2026-0006,Acme Retail,EMEA,Web,22436.69,Approve Order,2026-02-03T02:57:28Z,Approved,Order Desk
SO-2026-0010,Soylent Foods,APAC,Partner,28395.99,Approve Order,2026-02-03T03:14:07Z,Approved,Order Desk
SO-2026-0005,Hooli Inc,APAC,Partner,45368.44,Approve Order,2026-02-03T03:25:04Z,Approved,Order Desk
SO-2026-0002,Globex Stores,Americas,Partner,40934.00,Approve Order,2026-02-03T04:43:36Z,Approved,Order Desk
SO-2026-0001,Soylent Foods,Americas,Partner,22133.37,Fulfil Order,2026-02-03T04:52:45Z,Fulfilled,Fulfilment Centre
SO-2026-0007,Wayne Enterprises,APAC,Partner,35002.06,Approve Order,2026-02-03T06:43:05Z,Approved,Order Desk
SO-2026-0012,Initech Ltd,EMEA,Web,1959.07,Receive Order,2026-02-03T08:13:53Z,Received,Nadia Rahman
SO-2026-0001,Soylent Foods,Americas,Partner,26446.92,Invoice Customer,2026-02-03T10:30:45Z,Invoiced,Billing System
SO-2026-0013,Globex Stores,Americas,Web,9794.29,Receive Order,2026-02-03T11:05:14Z,Received,Nadia Rahman
SO-2026-0014,Wayne Enterprises,APAC,Partner,45616.77,Receive Order,2026-02-03T11:13:27Z,Received,Priya Nair
SO-2026-0015,Soylent Foods,EMEA,Partner,5910.96,Receive Order,2026-02-03T12:01:46Z,Received,Nadia Rahman
SO-2026-0016,Soylent Foods,APAC,Partner,18628.86,Receive Order,2026-02-03T12:04:32Z,Received,Nadia Rahman
SO-2026-0017,Soylent Foods,Americas,Partner,14465.56,Receive Order,2026-02-03T13:25:32Z,Received,Luis Ortega
SO-2026-0018,Initech Ltd,EMEA,Partner,27002.34,Receive Order,2026-02-03T13:36:15Z,Received,Nadia Rahman
SO-2026-0012,Initech Ltd,EMEA,Web,33181.10,Run Credit Check,2026-02-03T13:48:53Z,Credit Check,Credit Desk
SO-2026-0019,Hooli Inc,Americas,Direct,41477.01,Receive Order,2026-02-03T14:11:11Z,Received,Nadia Rahman
SO-2026-0020,Vandelay Co,Americas,Partner,3959.75,Receive Order,2026-02-03T14:16:21Z,Received,Luis Ortega
SO-2026-0018,Initech Ltd,EMEA,Partner,1003.97,Run Credit Check,2026-02-03T14:39:15Z,Credit Check,Credit Desk
SO-2026-0015,Soylent Foods,EMEA,Partner,31749.93,Run Credit Check,2026-02-03T15:01:46Z,Credit Check,Credit Desk
SO-2026-0012,Initech Ltd,EMEA,Web,22479.14,Place On Credit Hold,2026-02-03T15:03:53Z,On Credit Hold,Credit Desk
SO-2026-0021,Globex Stores,APAC,Direct,14649.21,Receive Order,2026-02-03T15:15:05Z,Received,Luis Ortega
SO-2026-0009,Globex Stores,EMEA,Partner,10011.41,Release Credit Hold,2026-02-03T15:46:44Z,Approved,Credit Desk
SO-2026-0008,Initech Ltd,EMEA,Partner,747.26,Fulfil Order,2026-02-03T16:07:13Z,Fulfilled,Fulfilment Centre
SO-2026-0022,Globex Stores,APAC,Direct,8778.24,Receive Order,2026-02-03T16:47:27Z,Received,Priya Nair
SO-2026-0020,Vandelay Co,Americas,Partner,17494.94,Run Credit Check,2026-02-03T17:43:21Z,Credit Check,Credit Desk
SO-2026-0014,Wayne Enterprises,APAC,Partner,1741.99,Run Credit Check,2026-02-03T18:16:27Z,Credit Check,Credit Desk
SO-2026-0019,Hooli Inc,Americas,Direct,10829.77,Run Credit Check,2026-02-03T18:45:11Z,Credit Check,Credit Desk
SO-2026-0013,Globex Stores,Americas,Web,34661.59,Run Credit Check,2026-02-03T19:58:14Z,Credit Check,Credit Desk
SO-2026-0016,Soylent Foods,APAC,Partner,19848.67,Run Credit Check,2026-02-03T19:58:32Z,Credit Check,Credit Desk
SO-2026-0022,Globex Stores,APAC,Direct,14208.67,Run Credit Check,2026-02-03T20:03:27Z,Credit Check,Credit Desk
SO-2026-0014,Wayne Enterprises,APAC,Partner,4362.02,Approve Order,2026-02-03T21:15:27Z,Approved,Order Desk
SO-2026-0018,Initech Ltd,EMEA,Partner,6701.50,Approve Order,2026-02-03T21:44:15Z,Approved,Order Desk
SO-2026-0002,Globex Stores,Americas,Partner,7030.26,Fulfil Order,2026-02-03T22:02:36Z,Fulfilled,Fulfilment Centre
SO-2026-0017,Soylent Foods,Americas,Partner,47759.31,Run Credit Check,2026-02-03T22:14:32Z,Credit Check,Credit Desk
SO-2026-0021,Globex Stores,APAC,Direct,9978.39,Run Credit Check,2026-02-03T23:38:05Z,Credit Check,Credit Desk
SO-2026-0020,Vandelay Co,Americas,Partner,7525.88,Place On Credit Hold,2026-02-04T00:12:21Z,On Credit Hold,Credit Desk
SO-2026-0019,Hooli Inc,Americas,Direct,23307.89,Place On Credit Hold,2026-02-04T01:03:11Z,On Credit Hold,Credit Desk
SO-2026-0022,Globex Stores,APAC,Direct,32228.67,Place On Credit Hold,2026-02-04T02:31:27Z,On Credit Hold,Credit Desk
SO-2026-0013,Globex Stores,Americas,Web,16021.83,Cancel Order,2026-02-04T03:08:14Z,Cancelled,Nadia Rahman
SO-2026-0015,Soylent Foods,EMEA,Partner,6749.05,Approve Order,2026-02-04T03:39:46Z,Approved,Order Desk
SO-2026-0011,Acme Retail,Americas,Web,19873.00,Fulfil Order,2026-02-04T04:03:18Z,Fulfilled,Fulfilment Centre
SO-2026-0011,Acme Retail,Americas,Web,2100.43,Invoice Customer,2026-02-04T05:28:18Z,Invoiced,Billing System
SO-2026-0017,Soylent Foods,Americas,Partner,31987.05,Approve Order,2026-02-04T06:47:32Z,Approved,Order Desk
SO-2026-0016,Soylent Foods,APAC,Partner,22914.03,Approve Order,2026-02-04T07:17:32Z,Approved,Order Desk
SO-2026-0023,Initech Ltd,Americas,Partner,37627.85,Receive Order,2026-02-04T08:20:02Z,Received,Priya Nair
SO-2026-0024,Acme Retail,Americas,Partner,38848.03,Receive Order,2026-02-04T08:45:17Z,Received,Nadia Rahman
SO-2026-0025,Hooli Inc,Americas,Direct,26840.92,Receive Order,2026-02-04T09:11:23Z,Received,Tom Becker
SO-2026-0026,Acme Retail,APAC,Direct,27269.56,Receive Order,2026-02-04T09:15:57Z,Received,Luis Ortega
SO-2026-0027,Umbrella Group,APAC,Web,12533.51,Receive Order,2026-02-04T09:26:35Z,Received,Tom Becker
SO-2026-0010,Soylent Foods,APAC,Partner,11812.06,Fulfil Order,2026-02-04T10:23:07Z,Fulfilled,Fulfilment Centre
SO-2026-0021,Globex Stores,APAC,Direct,40701.93,Approve Order,2026-02-04T10:27:05Z,Approved,Order Desk
SO-2026-0008,Initech Ltd,EMEA,Partner,5595.08,Invoice Customer,2026-02-04T11:19:13Z,Invoiced,Billing System
SO-2026-0028,Globex Stores,EMEA,Partner,5049.38,Receive Order,2026-02-04T12:02:35Z,Received,Luis Ortega
SO-2026-0029,Globex Stores,EMEA,Web,40329.23,Receive Order,2026-02-04T12:43:01Z,Received,Luis Ortega
SO-2026-0030,Umbrella Group,Americas,Partner,24456.51,Receive Order,2026-02-04T13:30:33Z,Received,Tom Becker
SO-2026-0022,Globex Stores,APAC,Direct,47238.87,Release Credit Hold,2026-02-04T14:05:27Z,Approved,Credit Desk
SO-2026-0031,Stark Traders,EMEA,Web,44825.97,Receive Order,2026-02-04T14:22:19Z,Received,Luis Ortega
SO-2026-0032,Wonka Brands,EMEA,Web,12670.84,Receive Order,2026-02-04T14:39:12Z,Received,Luis Ortega
SO-2026-0024,Acme Retail,Americas,Partner,21475.24,Run Credit Check,2026-02-04T15:13:17Z,Credit Check,Credit Desk
SO-2026-0027,Umbrella Group,APAC,Web,5538.81,Run Credit Check,2026-02-04T15:27:35Z,Credit Check,Credit Desk
SO-2026-0017,Soylent Foods,Americas,Partner,27569.90,Fulfil Order,2026-02-04T15:37:32Z,Fulfilled,Fulfilment Centre
SO-2026-0029,Globex Stores,EMEA,Web,35788.85,Run Credit Check,2026-02-04T15:51:01Z,Credit Check,Credit Desk
SO-2026-0026,Acme Retail,APAC,Direct,32134.24,Run Credit Check,2026-02-04T16:00:57Z,Credit Check,Credit Desk
SO-2026-0033,Initech Ltd,APAC,Direct,291.84,Receive Order,2026-02-04T16:01:33Z,Received,Luis Ortega
SO-2026-0016,Soylent Foods,APAC,Partner,38691.08,Fulfil Order,2026-02-04T16:04:32Z,Fulfilled,Fulfilment Centre
SO-2026-0034,Hooli Inc,EMEA,Partner,1362.53,Receive Order,2026-02-04T16:14:07Z,Received,Luis Ortega
SO-2026-0035,Globex Stores,EMEA,Partner,1858.30,Receive Order,2026-02-04T16:31:33Z,Received,Tom Becker
SO-2026-0012,Initech Ltd,EMEA,Web,241.97,Release Credit Hold,2026-02-04T16:42:53Z,Approved,Credit Desk
SO-2026-0026,Acme Retail,APAC,Direct,11672.77,Cancel Order,2026-02-04T17:02:57Z,Cancelled,Luis Ortega
SO-2026-0023,Initech Ltd,Americas,Partner,7456.66,Run Credit Check,2026-02-04T17:12:02Z,Credit Check,Credit Desk
SO-2026-0025,Hooli Inc,Americas,Direct,28922.88,Run Credit Check,2026-02-04T17:22:23Z,Credit Check,Credit Desk
SO-2026-0009,Globex Stores,EMEA,Partner,23802.27,Fulfil Order,2026-02-04T17:33:44Z,Fulfilled,Fulfilment Centre
SO-2026-0028,Globex Stores,EMEA,Partner,22478.07,Run Credit Check,2026-02-04T18:08:35Z,Credit Check,Credit Desk
SO-2026-0009,Globex Stores,EMEA,Partner,29810.01,Invoice Customer,2026-02-04T19:03:44Z,Invoiced,Billing System
SO-2026-0016,Soylent Foods,APAC,Partner,6005.06,Invoice Customer,2026-02-04T19:04:32Z,Invoiced,Billing System
SO-2026-0007,Wayne Enterprises,APAC,Partner,5948.26,Fulfil Order,2026-02-04T19:16:05Z,Fulfilled,Fulfilment Centre
SO-2026-0032,Wonka Brands,EMEA,Web,2512.94,Run Credit Check,2026-02-04T19:25:12Z,Credit Check,Credit Desk
SO-2026-0002,Globex Stores,Americas,Partner,17109.37,Invoice Customer,2026-02-04T19:51:36Z,Invoiced,Billing System
SO-2026-0003,Initech Ltd,APAC,Web,41126.46,Release Credit Hold,2026-02-04T19:55:27Z,Approved,Credit Desk
SO-2026-0035,Globex Stores,EMEA,Partner,23708.68,Run Credit Check,2026-02-04T20:08:33Z,Credit Check,Credit Desk
SO-2026-0031,Stark Traders,EMEA,Web,1589.54,Run Credit Check,2026-02-04T22:44:19Z,Credit Check,Credit Desk
SO-2026-0025,Hooli Inc,Americas,Direct,31358.21,Approve Order,2026-02-04T23:19:23Z,Approved,Order Desk
SO-2026-0033,Initech Ltd,APAC,Direct,32801.77,Run Credit Check,2026-02-04T23:33:33Z,Credit Check,Credit Desk
SO-2026-0007,Wayne Enterprises,APAC,Partner,25055.64,Invoice Customer,2026-02-04T23:53:05Z,Invoiced,Billing System
SO-2026-0004,Wonka Brands,APAC,Web,17661.69,Fulfil Order,2026-02-05T00:23:00Z,Fulfilled,Fulfilment Centre
SO-2026-0032,Wonka Brands,EMEA,Web,30209.94,Place On Credit Hold,2026-02-05T00:27:12Z,On Credit Hold,Credit Desk
SO-2026-0010,Soylent Foods,APAC,Partner,39096.63,Invoice Customer,2026-02-05T00:59:07Z,Invoiced,Billing System
SO-2026-0034,Hooli Inc,EMEA,Partner,28065.11,Run Credit Check,2026-02-05T01:00:07Z,Credit Check,Credit Desk
SO-2026-0022,Globex Stores,APAC,Direct,15068.79,Fulfil Order,2026-02-05T01:15:27Z,Fulfilled,Fulfilment Centre
SO-2026-0014,Wayne Enterprises,APAC,Partner,36183.52,Fulfil Order,2026-02-05T01:19:27Z,Fulfilled,Fulfilment Centre
SO-2026-0023,Initech Ltd,Americas,Partner,11381.08,Approve Order,2026-02-05T01:34:02Z,Approved,Order Desk
SO-2026-0033,Initech Ltd,APAC,Direct,29732.48,Place On Credit Hold,2026-02-05T01:44:33Z,On Credit Hold,Credit Desk
SO-2026-0024,Acme Retail,Americas,Partner,14737.93,Approve Order,2026-02-05T01:55:17Z,Approved,Order Desk
SO-2026-0027,Umbrella Group,APAC,Web,45759.28,Approve Order,2026-02-05T02:06:35Z,Approved,Order Desk
SO-2026-0029,Globex Stores,EMEA,Web,8023.37,Place On Credit Hold,2026-02-05T02:23:01Z,On Credit Hold,Credit Desk
SO-2026-0005,Hooli Inc,APAC,Partner,18125.35,Fulfil Order,2026-02-05T03:25:04Z,Fulfilled,Fulfilment Centre
SO-2026-0028,Globex Stores,EMEA,Partner,30396.41,Place On Credit Hold,2026-02-05T05:22:35Z,On Credit Hold,Credit Desk
SO-2026-0031,Stark Traders,EMEA,Web,23751.99,Place On Credit Hold,2026-02-05T05:36:19Z,On Credit Hold,Credit Desk
SO-2026-0019,Hooli Inc,Americas,Direct,32976.44,Release Credit Hold,2026-02-05T06:36:11Z,Approved,Credit Desk
SO-2026-0017,Soylent Foods,Americas,Partner,10498.10,Invoice Customer,2026-02-05T06:45:32Z,Invoiced,Billing System
SO-2026-0035,Globex Stores,EMEA,Partner,12204.75,Place On Credit Hold,2026-02-05T08:08:33Z,On Credit Hold,Credit Desk
SO-2026-0036,Wonka Brands,EMEA,Web,12968.41,Receive Order,2026-02-05T08:21:34Z,Received,Luis Ortega
SO-2026-0037,Initech Ltd,APAC,Partner,37660.65,Receive Order,2026-02-05T08:40:14Z,Received,Tom Becker
SO-2026-0038,Stark Traders,EMEA,Partner,5644.42,Receive Order,2026-02-05T08:59:27Z,Received,Nadia Rahman
SO-2026-0039,Umbrella Group,Americas,Partner,9319.41,Receive Order,2026-02-05T09:07:49Z,Received,Tom Becker
SO-2026-0014,Wayne Enterprises,APAC,Partner,18796.97,Invoice Customer,2026-02-05T10:34:27Z,Invoiced,Billing System
SO-2026-0034,Hooli Inc,EMEA,Partner,25265.46,Cancel Order,2026-02-05T10:42:07Z,Cancelled,Luis Ortega
SO-2026-0040,Stark Traders,Americas,Direct,22969.52,Receive Order,2026-02-05T11:06:56Z,Received,Luis Ortega
SO-2026-0041,Globex Stores,EMEA,Partner,37963.33,Receive Order,2026-02-05T11:50:25Z,Received,Priya Nair
SO-2026-0033,Initech Ltd,APAC,Direct,13551.71,Release Credit Hold,2026-02-05T12:18:33Z,Approved,Credit Desk
SO-2026-0039,Umbrella Group,Americas,Partner,15001.75,Approve Order,2026-02-05T12:30:49Z,Approved,Order Desk
SO-2026-0042,Vandelay Co,Americas,Direct,37683.66,Receive Order,2026-02-05T12:33:44Z,Received,Nadia Rahman
SO-2026-0037,Initech Ltd,APAC,Partner,21149.65,Run Credit Check,2026-02-05T12:39:14Z,Credit Check,Credit Desk
SO-2026-0036,Wonka Brands,EMEA,Web,44350.21,Run Credit Check,2026-02-05T13:07:34Z,Credit Check,Credit Desk
SO-2026-0005,Hooli Inc,APAC,Partner,1285.26,Invoice Customer,2026-02-05T13:20:04Z,Invoiced,Billing System
SO-2026-0043,Stark Traders,EMEA,Direct,14362.31,Receive Order,2026-02-05T13:27:16Z,Received,Luis Ortega
SO-2026-0037,Initech Ltd,APAC,Partner,21022.79,Approve Order,2026-02-05T14:39:14Z,Approved,Order Desk
SO-2026-0044,Vandelay Co,APAC,Web,14342.29,Receive Order,2026-02-05T15:14:43Z,Received,Tom Becker
SO-2026-0041,Globex Stores,EMEA,Partner,24202.28,Run Credit Check,2026-02-05T15:48:25Z,Credit Check,Credit Desk
SO-2026-0038,Stark Traders,EMEA,Partner,15150.14,Run Credit Check,2026-02-05T16:50:27Z,Credit Check,Credit Desk
SO-2026-0040,Stark Traders,Americas,Direct,44510.45,Run Credit Check,2026-02-05T17:58:56Z,Credit Check,Credit Desk
SO-2026-0021,Globex Stores,APAC,Direct,14800.03,Fulfil Order,2026-02-05T18:55:05Z,Fulfilled,Fulfilment Centre
SO-2026-0043,Stark Traders,EMEA,Direct,39601.97,Run Credit Check,2026-02-05T19:19:16Z,Credit Check,Credit Desk
SO-2026-0041,Globex Stores,EMEA,Partner,11663.79,Place On Credit Hold,2026-02-05T19:36:25Z,On Credit Hold,Credit Desk
SO-2026-0042,Vandelay Co,Americas,Direct,32879.96,Run Credit Check,2026-02-05T20:30:44Z,Credit Check,Credit Desk
SO-2026-0003,Initech Ltd,APAC,Web,27204.28,Fulfil Order,2026-02-05T20:41:27Z,Fulfilled,Fulfilment Centre
SO-2026-0020,Vandelay Co,Americas,Partner,29137.46,Ship Goods,2026-02-05T20:50:21Z,Fulfilled,Fulfilment Centre
SO-2026-0022,Globex Stores,APAC,Direct,32508.26,Invoice Customer,2026-02-05T21:32:27Z,Invoiced,Billing System
SO-2026-0038,Stark Traders,EMEA,Partner,42812.86,Approve Order,2026-02-05T23:21:27Z,Approved,Order Desk
SO-2026-0024,Acme Retail,Americas,Partner,45517.96,Fulfil Order,2026-02-05T23:30:17Z,Fulfilled,Fulfilment Centre
SO-2026-0007,Wayne Enterprises,APAC,Partner,11440.94,Raise Dispute,2026-02-05T23:41:05Z,Disputed,Tom Becker
SO-2026-0006,Acme Retail,EMEA,Web,33658.12,Fulfil Order,2026-02-05T23:46:28Z,Fulfilled,Fulfilment Centre
SO-2026-0044,Vandelay Co,APAC,Web,9493.70,Run Credit Check,2026-02-05T23:51:43Z,Credit Check,Credit Desk
SO-2026-0043,Stark Traders,EMEA,Direct,22997.21,Approve Order,2026-02-05T23:55:16Z,Approved,Order Desk
SO-2026-0004,Wonka Brands,APAC,Web,21507.28,Invoice Customer,2026-02-06T00:25:00Z,Invoiced,Billing System
SO-2026-0003,Initech Ltd,APAC,Web,7748.79,Invoice Customer,2026-02-06T00:43:27Z,Invoiced,Billing System
SO-2026-0040,Stark Traders,Americas,Direct,36564.54,Approve Order,2026-02-06T01:07:56Z,Approved,Order Desk
SO-2026-0021,Globex Stores,APAC,Direct,8299.17,Invoice Customer,2026-02-06T01:12:05Z,Invoiced,Billing System
SO-2026-0036,Wonka Brands,EMEA,Web,38211.93,Approve Order,2026-02-06T01:42:34Z,Approved,Order Desk
SO-2026-0042,Vandelay Co,Americas,Direct,33216.41,Approve Order,2026-02-06T03:36:44Z,Approved,Order Desk
SO-2026-0030,Umbrella Group,Americas,Partner,20196.02,Ship Goods,2026-02-06T05:01:33Z,Fulfilled,Fulfilment Centre
SO-2026-0044,Vandelay Co,APAC,Web,36709.29,Approve Order,2026-02-06T05:03:43Z,Approved,Order Desk
SO-2026-0041,Globex Stores,EMEA,Partner,32340.23,Ship Goods,2026-02-06T06:28:25Z,Fulfilled,Fulfilment Centre
SO-2026-0045,Globex Stores,EMEA,Web,38650.50,Receive Order,2026-02-06T08:55:25Z,Received,Priya Nair
SO-2026-0030,Umbrella Group,Americas,Partner,38547.99,Invoice Customer,2026-02-06T09:15:33Z,Invoiced,Billing System
SO-2026-0024,Acme Retail,Americas,Partner,41391.59,Invoice Customer,2026-02-06T09:38:17Z,Invoiced,Billing System
SO-2026-0032,Wonka Brands,EMEA,Web,28705.36,Release Credit Hold,2026-02-06T09:58:12Z,Approved,Credit Desk
SO-2026-0046,Hooli Inc,EMEA,Web,1364.11,Receive Order,2026-02-06T10:10:33Z,Received,Tom Becker
SO-2026-0019,Hooli Inc,Americas,Direct,19544.59,Fulfil Order,2026-02-06T10:37:11Z,Fulfilled,Fulfilment Centre
SO-2026-0023,Initech Ltd,Americas,Partner,47411.50,Fulfil Order,2026-02-06T10:46:02Z,Fulfilled,Fulfilment Centre
SO-2026-0037,Initech Ltd,APAC,Partner,46445.73,Fulfil Order,2026-02-06T11:06:14Z,Fulfilled,Fulfilment Centre
SO-2026-0047,Acme Retail,EMEA,Direct,22310.81,Receive Order,2026-02-06T11:08:39Z,Received,Priya Nair
SO-2026-0035,Globex Stores,EMEA,Partner,940.71,Release Credit Hold,2026-02-06T11:28:33Z,Approved,Credit Desk
SO-2026-0019,Hooli Inc,Americas,Direct,26733.97,Invoice Customer,2026-02-06T12:15:11Z,Invoiced,Billing System
SO-2026-0048,Globex Stores,Americas,Partner,43692.60,Receive Order,2026-02-06T12:52:44Z,Received,Tom Becker
SO-2026-0049,Acme Retail,APAC,Direct,42054.91,Receive Order,2026-02-06T13:05:35Z,Received,Luis Ortega
SO-2026-0046,Hooli Inc,EMEA,Web,13040.55,Run Credit Check,2026-02-06T13:41:33Z,Credit Check,Credit Desk
SO-2026-0006,Acme Retail,EMEA,Web,3829.93,Invoice Customer,2026-02-06T13:47:28Z,Invoiced,Billing System
SO-2026-0039,Umbrella Group,Americas,Partner,40020.30,Fulfil Order,2026-02-06T14:29:49Z,Fulfilled,Fulfilment Centre
SO-2026-0048,Globex Stores,Americas,Partner,28069.15,Run Credit Check,2026-02-06T14:57:44Z,Credit Check,Credit Desk
SO-2026-0008,Initech Ltd,EMEA,Partner,29213.61,Receive Payment,2026-02-06T15:23:13Z,Paid,Billing System
SO-2026-0050,Wonka Brands,Americas,Partner,24010.31,Receive Order,2026-02-06T15:30:10Z,Received,Priya Nair
SO-2026-0051,Umbrella Group,Americas,Web,1320.46,Receive Order,2026-02-06T15:43:38Z,Received,Nadia Rahman
SO-2026-0052,Wayne Enterprises,EMEA,Web,40324.27,Receive Order,2026-02-06T16:02:31Z,Received,Priya Nair
SO-2026-0045,Globex Stores,EMEA,Web,17362.15,Run Credit Check,2026-02-06T16:09:25Z,Credit Check,Credit Desk
SO-2026-0044,Vandelay Co,APAC,Web,6396.42,Fulfil Order,2026-02-06T16:27:43Z,Fulfilled,Fulfilment Centre
SO-2026-0031,Stark Traders,EMEA,Web,24993.27,Ship Goods,2026-02-06T16:42:19Z,Fulfilled,Fulfilment Centre
SO-2026-0042,Vandelay Co,Americas,Direct,24659.70,Fulfil Order,2026-02-06T17:24:44Z,Fulfilled,Fulfilment Centre
SO-2026-0025,Hooli Inc,Americas,Direct,47743.41,Fulfil Order,2026-02-06T17:46:23Z,Fulfilled,Fulfilment Centre
SO-2026-0028,Globex Stores,EMEA,Partner,45267.13,Release Credit Hold,2026-02-06T18:29:35Z,Approved,Credit Desk
SO-2026-0029,Globex Stores,EMEA,Web,16574.80,Release Credit Hold,2026-02-06T18:59:01Z,Approved,Credit Desk
SO-2026-0048,Globex Stores,Americas,Partner,37049.84,Place On Credit Hold,2026-02-06T19:12:44Z,On Credit Hold,Credit Desk
SO-2026-0047,Acme Retail,EMEA,Direct,24625.27,Run Credit Check,2026-02-06T19:23:39Z,Credit Check,Credit Desk
SO-2026-0025,Hooli Inc,Americas,Direct,33236.27,Invoice Customer,2026-02-06T19:28:23Z,Invoiced,Billing System
SO-2026-0023,Initech Ltd,Americas,Partner,15601.08,Invoice Customer,2026-02-06T19:57:02Z,Invoiced,Billing System
SO-2026-0020,Vandelay Co,Americas,Partner,45857.39,Invoice Customer,2026-02-06T20:35:21Z,Invoiced,Billing System
SO-2026-0049,Acme Retail,APAC,Direct,18786.12,Run Credit Check,2026-02-06T20:48:35Z,Credit Check,Credit Desk
SO-2026-0051,Umbrella Group,Americas,Web,22984.98,Run Credit Check,2026-02-06T20:49:38Z,Credit Check,Credit Desk
SO-2026-0046,Hooli Inc,EMEA,Web,22488.05,Approve Order,2026-02-06T21:25:33Z,Approved,Order Desk
SO-2026-0041,Globex Stores,EMEA,Partner,29219.96,Invoice Customer,2026-02-06T22:56:25Z,Invoiced,Billing System
SO-2026-0051,Umbrella Group,Americas,Web,9935.90,Approve Order,2026-02-06T23:29:38Z,Approved,Order Desk
SO-2026-0049,Acme Retail,APAC,Direct,36198.08,Approve Order,2026-02-06T23:40:35Z,Approved,Order Desk
SO-2026-0052,Wayne Enterprises,EMEA,Web,3630.24,Run Credit Check,2026-02-06T23:41:31Z,Credit Check,Credit Desk
SO-2026-0045,Globex Stores,EMEA,Web,20989.78,Approve Order,2026-02-07T00:30:25Z,Approved,Order Desk
SO-2026-0012,Initech Ltd,EMEA,Web,37511.12,Fulfil Order,2026-02-07T00:35:53Z,Fulfilled,Fulfilment Centre
SO-2026-0050,Wonka Brands,Americas,Partner,43598.46,Approve Order,2026-02-07T01:17:10Z,Approved,Order Desk
SO-2026-0037,Initech Ltd,APAC,Partner,32440.32,Invoice Customer,2026-02-07T01:42:14Z,Invoiced,Billing System
SO-2026-0027,Umbrella Group,APAC,Web,30656.55,Fulfil Order,2026-02-07T03:00:35Z,Fulfilled,Fulfilment Centre
