Requisition,Activity,Timestamp,Status,Team
REQ-2026-0033,Review Terms,2026-03-09T00:42:15Z,Terms Reviewed,Legal
REQ-2026-0036,Review Terms,2026-03-09T01:25:49Z,Terms Reviewed,Legal
REQ-2026-0012,Accept Terms,2026-03-09T03:02:53Z,Terms Agreed,Finance
REQ-2026-0009,Accept Terms,2026-03-09T03:37:49Z,Terms Agreed,Finance
REQ-2026-0022,Raise Purchase Order,2026-03-09T04:22:49Z,Ordered,Procurement
REQ-2026-0010,Accept Terms,2026-03-09T06:07:29Z,Terms Agreed,Finance
REQ-2026-0036,Raise Purchase Order,2026-03-09T08:18:49Z,Ordered,Procurement
REQ-2026-0038,Raise Requisition,2026-03-09T09:00:19Z,Raised,Procurement
REQ-2026-0010,Raise Purchase Order,2026-03-09T09:06:29Z,Ordered,Procurement
REQ-2026-0009,Raise Purchase Order,2026-03-09T09:41:49Z,Ordered,Procurement
REQ-2026-0026,Review Terms,2026-03-09T09:47:50Z,Terms Reviewed,Legal
REQ-2026-0012,Raise Purchase Order,2026-03-09T10:39:53Z,Ordered,Procurement
REQ-2026-0017,Query Terms,2026-03-09T13:24:40Z,Terms Queried,Finance
REQ-2026-0008,Revise Terms,2026-03-09T13:40:34Z,Terms Revised,Legal
REQ-2026-0038,Check Budget,2026-03-09T14:27:19Z,Budget Checked,Finance
REQ-2026-0039,Raise Requisition,2026-03-09T15:23:49Z,Raised,Procurement
REQ-2026-0040,Raise Requisition,2026-03-09T15:59:23Z,Raised,Procurement
REQ-2026-0007,Revise Terms,2026-03-09T16:11:06Z,Terms Revised,Legal
REQ-2026-0041,Raise Requisition,2026-03-09T16:15:16Z,Raised,Procurement
REQ-2026-0040,Check Budget,2026-03-09T18:57:23Z,Budget Checked,Finance
REQ-2026-0027,Review Terms,2026-03-09T19:53:23Z,Terms Reviewed,Legal
REQ-2026-0007,Accept Terms,2026-03-09T21:30:06Z,Terms Agreed,Finance
REQ-2026-0037,Review Terms,2026-03-09T22:20:14Z,Terms Reviewed,Legal
REQ-2026-0039,Check Budget,2026-03-09T23:28:49Z,Budget Checked,Finance
REQ-2026-0041,Check Budget,2026-03-09T23:53:16Z,Budget Checked,Finance
REQ-2026-0033,Query Terms,2026-03-10T00:53:15Z,Terms Queried,Finance
REQ-2026-0037,Raise Purchase Order,2026-03-10T01:14:14Z,Ordered,Procurement
REQ-2026-0030,Revise Terms,2026-03-10T01:38:21Z,Terms Revised,Legal
REQ-2026-0011,Receive Goods,2026-03-10T02:53:00Z,Received,Procurement
REQ-2026-0016,Revise Terms,2026-03-10T03:32:25Z,Terms Revised,Legal
REQ-2026-0007,Raise Purchase Order,2026-03-10T03:37:06Z,Ordered,Procurement
REQ-2026-0008,Accept Terms,2026-03-10T06:24:34Z,Terms Agreed,Finance
REQ-2026-0028,Review Terms,2026-03-10T06:31:30Z,Terms Reviewed,Legal
REQ-2026-0026,Query Terms,2026-03-10T07:54:50Z,Terms Queried,Finance
REQ-2026-0016,Accept Terms,2026-03-10T09:49:25Z,Terms Agreed,Finance
REQ-2026-0008,Raise Purchase Order,2026-03-10T10:05:34Z,Ordered,Procurement
REQ-2026-0042,Raise Requisition,2026-03-10T10:11:38Z,Raised,Procurement
REQ-2026-0011,Close Requisition,2026-03-10T11:12:00Z,Closed,Procurement
REQ-2026-0043,Raise Requisition,2026-03-10T11:27:58Z,Raised,Procurement
REQ-2026-0027,Query Terms,2026-03-10T11:34:23Z,Terms Queried,Finance
REQ-2026-0026,Accept Terms,2026-03-10T11:53:50Z,Terms Agreed,Finance
REQ-2026-0044,Raise Requisition,2026-03-10T11:57:14Z,Raised,Procurement
REQ-2026-0045,Raise Requisition,2026-03-10T12:23:52Z,Raised,Procurement
REQ-2026-0026,Raise Purchase Order,2026-03-10T12:58:50Z,Ordered,Procurement
REQ-2026-0016,Raise Purchase Order,2026-03-10T13:34:25Z,Ordered,Procurement
REQ-2026-0001,Revise Terms,2026-03-10T14:18:17Z,Terms Revised,Legal
REQ-2026-0046,Raise Requisition,2026-03-10T14:18:41Z,Raised,Procurement
REQ-2026-0028,Raise Purchase Order,2026-03-10T14:22:30Z,Ordered,Procurement
REQ-2026-0020,Revise Terms,2026-03-10T15:02:29Z,Terms Revised,Legal
REQ-2026-0047,Raise Requisition,2026-03-10T15:46:38Z,Raised,Procurement
REQ-2026-0030,Accept Terms,2026-03-10T16:41:21Z,Terms Agreed,Finance
REQ-2026-0045,Check Budget,2026-03-10T17:01:52Z,Budget Checked,Finance
REQ-2026-0014,Receive Goods,2026-03-10T17:47:44Z,Received,Procurement
REQ-2026-0030,Raise Purchase Order,2026-03-10T18:08:21Z,Ordered,Procurement
REQ-2026-0024,Revise Terms,2026-03-10T18:31:46Z,Terms Revised,Legal
REQ-2026-0047,Check Budget,2026-03-10T19:07:38Z,Budget Checked,Finance
REQ-2026-0042,Check Budget,2026-03-10T19:48:38Z,Budget Checked,Finance
REQ-2026-0044,Check Budget,2026-03-10T20:22:14Z,Budget Checked,Finance
REQ-2026-0043,Check Budget,2026-03-10T21:15:58Z,Budget Checked,Finance
REQ-2026-0034,Review Terms,2026-03-10T23:04:14Z,Terms Reviewed,Legal
REQ-2026-0014,Close Requisition,2026-03-10T23:34:44Z,Closed,Procurement
REQ-2026-0046,Check Budget,2026-03-11T00:09:41Z,Budget Checked,Finance
REQ-2026-0024,Accept Terms,2026-03-11T02:51:46Z,Terms Agreed,Finance
REQ-2026-0034,Raise Purchase Order,2026-03-11T05:03:14Z,Ordered,Procurement
REQ-2026-0001,Accept Terms,2026-03-11T07:15:17Z,Terms Agreed,Finance
REQ-2026-0020,Accept Terms,2026-03-11T07:48:29Z,Terms Agreed,Finance
REQ-2026-0001,Raise Purchase Order,2026-03-11T09:08:17Z,Ordered,Procurement
REQ-2026-0033,Revise Terms,2026-03-11T09:45:15Z,Terms Revised,Legal
REQ-2026-0048,Raise Requisition,2026-03-11T10:00:33Z,Raised,Procurement
REQ-2026-0024,Raise Purchase Order,2026-03-11T10:39:46Z,Ordered,Procurement
REQ-2026-0049,Raise Requisition,2026-03-11T10:52:50Z,Raised,Procurement
REQ-2026-0050,Raise Requisition,2026-03-11T11:04:04Z,Raised,Procurement
REQ-2026-0051,Raise Requisition,2026-03-11T12:00:13Z,Raised,Procurement
REQ-2026-0049,Check Budget,2026-03-11T13:26:50Z,Budget Checked,Finance
REQ-2026-0021,Receive Goods,2026-03-11T15:01:42Z,Received,Procurement
REQ-2026-0020,Raise Purchase Order,2026-03-11T16:15:29Z,Ordered,Procurement
REQ-2026-0005,Revise Terms,2026-03-11T16:21:13Z,Terms Revised,Legal
REQ-2026-0052,Raise Requisition,2026-03-11T16:29:12Z,Raised,Procurement
REQ-2026-0053,Raise Requisition,2026-03-11T16:49:41Z,Raised,Procurement
REQ-2026-0053,Check Budget,2026-03-11T18:52:41Z,Budget Checked,Finance
REQ-2026-0048,Check Budget,2026-03-11T19:03:33Z,Budget Checked,Finance
REQ-2026-0050,Check Budget,2026-03-11T19:41:04Z,Budget Checked,Finance
REQ-2026-0046,Reject Requisition,2026-03-11T20:42:41Z,Rejected,Finance
REQ-2026-0033,Accept Terms,2026-03-11T21:11:15Z,Terms Agreed,Finance
REQ-2026-0051,Check Budget,2026-03-11T22:54:13Z,Budget Checked,Finance
REQ-2026-0027,Revise Terms,2026-03-12T01:14:23Z,Terms Revised,Legal
REQ-2026-0021,Close Requisition,2026-03-12T01:24:42Z,Closed,Procurement
REQ-2026-0052,Check Budget,2026-03-12T02:04:12Z,Budget Checked,Finance
REQ-2026-0033,Raise Purchase Order,2026-03-12T04:35:15Z,Ordered,Procurement
REQ-2026-0022,Receive Goods,2026-03-12T04:54:49Z,Received,Procurement
REQ-2026-0009,Receive Goods,2026-03-12T05:35:49Z,Received,Procurement
REQ-2026-0005,Accept Terms,2026-03-12T06:50:13Z,Terms Agreed,Finance
REQ-2026-0017,Revise Terms,2026-03-12T07:07:40Z,Terms Revised,Legal
REQ-2026-0027,Accept Terms,2026-03-12T07:43:23Z,Terms Agreed,Finance
REQ-2026-0054,Raise Requisition,2026-03-12T08:11:59Z,Raised,Procurement
REQ-2026-0006,Receive Goods,2026-03-12T08:28:12Z,Received,Procurement
REQ-2026-0055,Raise Requisition,2026-03-12T08:51:45Z,Raised,Procurement
REQ-2026-0009,Close Requisition,2026-03-12T09:36:49Z,Closed,Procurement
REQ-2026-0005,Raise Purchase Order,2026-03-12T10:08:13Z,Ordered,Procurement
REQ-2026-0038,Review Terms,2026-03-12T10:09:19Z,Terms Reviewed,Legal
REQ-2026-0056,Raise Requisition,2026-03-12T10:14:29Z,Raised,Procurement
REQ-2026-0022,Close Requisition,2026-03-12T10:35:49Z,Closed,Procurement
REQ-2026-0055,Check Budget,2026-03-12T11:14:45Z,Budget Checked,Finance
REQ-2026-0049,Reject Requisition,2026-03-12T11:23:50Z,Rejected,Finance
REQ-2026-0006,Close Requisition,2026-03-12T11:48:12Z,Closed,Procurement
REQ-2026-0047,Review Terms,2026-03-12T12:07:38Z,Terms Reviewed,Legal
REQ-2026-0027,Raise Purchase Order,2026-03-12T12:49:23Z,Ordered,Procurement
REQ-2026-0057,Raise Requisition,2026-03-12T13:19:25Z,Raised,Procurement
REQ-2026-0017,Accept Terms,2026-03-12T13:23:40Z,Terms Agreed,Finance
REQ-2026-0002,Receive Goods,2026-03-12T13:50:20Z,Received,Procurement
REQ-2026-0056,Check Budget,2026-03-12T13:53:29Z,Budget Checked,Finance
REQ-2026-0056,Reject Requisition,2026-03-12T15:54:29Z,Rejected,Finance
REQ-2026-0054,Check Budget,2026-03-12T16:08:59Z,Budget Checked,Finance
REQ-2026-0042,Review Terms,2026-03-12T17:05:38Z,Terms Reviewed,Legal
REQ-2026-0017,Raise Purchase Order,2026-03-12T18:03:40Z,Ordered,Procurement
REQ-2026-0041,Review Terms,2026-03-12T18:17:16Z,Terms Reviewed,Legal
REQ-2026-0047,Raise Purchase Order,2026-03-12T18:36:38Z,Ordered,Procurement
REQ-2026-0038,Query Terms,2026-03-12T18:40:19Z,Terms Queried,Finance
REQ-2026-0057,Check Budget,2026-03-12T21:38:25Z,Budget Checked,Finance
REQ-2026-0002,Close Requisition,2026-03-13T01:46:20Z,Closed,Procurement
REQ-2026-0013,Receive Goods,2026-03-13T01:50:03Z,Received,Procurement
REQ-2026-0030,Receive Goods,2026-03-13T02:39:21Z,Received,Procurement
REQ-2026-0013,Close Requisition,2026-03-13T03:04:03Z,Closed,Procurement
REQ-2026-0051,Review Terms,2026-03-13T05:32:13Z,Terms Reviewed,Legal
REQ-2026-0042,Query Terms,2026-03-13T09:14:38Z,Terms Queried,Finance
REQ-2026-0058,Raise Requisition,2026-03-13T09:27:40Z,Raised,Procurement
REQ-2026-0059,Raise Requisition,2026-03-13T10:36:42Z,Raised,Procurement
REQ-2026-0060,Raise Requisition,2026-03-13T11:40:34Z,Raised,Procurement
REQ-2026-0024,Receive Goods,2026-03-13T11:48:46Z,Received,Procurement
REQ-2026-0041,Query Terms,2026-03-13T11:49:16Z,Terms Queried,Finance
REQ-2026-0015,Receive Goods,2026-03-13T11:57:22Z,Received,Procurement
REQ-2026-0061,Raise Requisition,2026-03-13T12:30:31Z,Raised,Procurement
REQ-2026-0062,Raise Requisition,2026-03-13T12:31:56Z,Raised,Procurement
REQ-2026-0063,Raise Requisition,2026-03-13T12:34:43Z,Raised,Procurement
REQ-2026-0042,Accept Terms,2026-03-13T13:10:38Z,Terms Agreed,Finance
REQ-2026-0030,Close Requisition,2026-03-13T13:49:21Z,Closed,Procurement
REQ-2026-0064,Raise Requisition,2026-03-13T13:50:44Z,Raised,Procurement
REQ-2026-0040,Review Terms,2026-03-13T13:57:23Z,Terms Reviewed,Legal
REQ-2026-0065,Raise Requisition,2026-03-13T13:58:40Z,Raised,Procurement
REQ-2026-0015,Close Requisition,2026-03-13T14:11:22Z,Closed,Procurement
REQ-2026-0060,Check Budget,2026-03-13T14:33:34Z,Budget Checked,Finance
REQ-2026-0066,Raise Requisition,2026-03-13T14:52:01Z,Raised,Procurement
REQ-2026-0040,Raise Purchase Order,2026-03-13T15:21:23Z,Ordered,Procurement
REQ-2026-0024,Close Requisition,2026-03-13T16:44:46Z,Closed,Procurement
REQ-2026-0054,Review Terms,2026-03-13T19:14:59Z,Terms Reviewed,Legal
REQ-2026-0059,Check Budget,2026-03-13T19:37:42Z,Budget Checked,Finance
REQ-2026-0065,Check Budget,2026-03-13T20:11:40Z,Budget Checked,Finance
REQ-2026-0058,Check Budget,2026-03-13T20:30:40Z,Budget Checked,Finance
REQ-2026-0051,Query Terms,2026-03-13T20:43:13Z,Terms Queried,Finance
REQ-2026-0042,Raise Purchase Order,2026-03-13T20:56:38Z,Ordered,Procurement
REQ-2026-0063,Check Budget,2026-03-13T21:01:43Z,Budget Checked,Finance
REQ-2026-0064,Check Budget,2026-03-13T22:09:44Z,Budget Checked,Finance
REQ-2026-0062,Check Budget,2026-03-13T22:48:56Z,Budget Checked,Finance
REQ-2026-0061,Check Budget,2026-03-13T22:49:31Z,Budget Checked,Finance
REQ-2026-0029,Receive Goods,2026-03-13T22:57:25Z,Received,Procurement
REQ-2026-0039,Review Terms,2026-03-14T00:17:49Z,Terms Reviewed,Legal
REQ-2026-0044,Review Terms,2026-03-14T00:34:14Z,Terms Reviewed,Legal
REQ-2026-0029,Close Requisition,2026-03-14T00:53:25Z,Closed,Procurement
REQ-2026-0054,Raise Purchase Order,2026-03-14T01:23:59Z,Ordered,Procurement
REQ-2026-0016,Receive Goods,2026-03-14T01:47:25Z,Received,Procurement
REQ-2026-0066,Check Budget,2026-03-14T03:27:01Z,Budget Checked,Finance
REQ-2026-0004,Receive Goods,2026-03-14T03:51:17Z,Received,Procurement
REQ-2026-0057,Review Terms,2026-03-14T07:28:25Z,Terms Reviewed,Legal
REQ-2026-0048,Review Terms,2026-03-14T08:14:33Z,Terms Reviewed,Legal
REQ-2026-0008,Receive Goods,2026-03-14T08:27:34Z,Received,Procurement
REQ-2026-0051,Accept Terms,2026-03-14T09:22:13Z,Terms Agreed,Finance
REQ-2026-0004,Close Requisition,2026-03-14T09:51:17Z,Closed,Procurement
REQ-2026-0001,Receive Goods,2026-03-14T10:05:17Z,Received,Procurement
REQ-2026-0053,Review Terms,2026-03-14T10:25:41Z,Terms Reviewed,Legal
REQ-2026-0048,Raise Purchase Order,2026-03-14T10:43:33Z,Ordered,Procurement
REQ-2026-0008,Close Requisition,2026-03-14T11:01:34Z,Closed,Procurement
REQ-2026-0053,Raise Purchase Order,2026-03-14T12:11:41Z,Ordered,Procurement
REQ-2026-0057,Raise Purchase Order,2026-03-14T12:24:25Z,Ordered,Procurement
REQ-2026-0044,Query Terms,2026-03-14T12:59:14Z,Terms Queried,Finance
REQ-2026-0016,Close Requisition,2026-03-14T13:13:25Z,Closed,Procurement
REQ-2026-0055,Review Terms,2026-03-14T13:17:45Z,Terms Reviewed,Legal
REQ-2026-0051,Raise Purchase Order,2026-03-14T13:19:13Z,Ordered,Procurement
REQ-2026-0010,Receive Goods,2026-03-14T14:28:29Z,Received,Procurement
REQ-2026-0010,Close Requisition,2026-03-14T17:32:29Z,Closed,Procurement
REQ-2026-0055,Query Terms,2026-03-14T17:56:45Z,Terms Queried,Finance
REQ-2026-0052,Review Terms,2026-03-14T19:47:12Z,Terms Reviewed,Legal
REQ-2026-0055,Accept Terms,2026-03-14T22:03:45Z,Terms Agreed,Finance
REQ-2026-0001,Close Requisition,2026-03-14T22:56:17Z,Closed,Procurement
REQ-2026-0007,Receive Goods,2026-03-14T23:04:06Z,Received,Procurement
REQ-2026-0039,Query Terms,2026-03-15T00:11:49Z,Terms Queried,Finance
