Application,Activity,Timestamp,Stage,Team
APP-2026-0022,Verify Identity,2026-04-02T15:54:44Z,Identity Verified,Intake
APP-2026-0009,Credit Check,2026-04-02T16:08:20Z,Credit Checked,Credit Team
APP-2026-0010,Credit Check,2026-04-02T16:23:03Z,Credit Checked,Credit Team
APP-2026-0018,Verify Identity,2026-04-02T16:24:57Z,Identity Verified,Intake
APP-2026-0023,Verify Identity,2026-04-02T16:29:14Z,Identity Verified,Intake
APP-2026-0020,Verify Identity,2026-04-02T16:38:00Z,Identity Verified,Intake
APP-2026-0025,Receive Application,2026-04-02T16:45:00Z,Received,Intake
APP-2026-0021,Verify Identity,2026-04-02T16:45:04Z,Identity Verified,Intake
APP-2026-0026,Receive Application,2026-04-02T16:50:18Z,Received,Intake
APP-2026-0014,Verify Identity,2026-04-02T16:58:55Z,Identity Verified,Intake
APP-2026-0008,Request Documents,2026-04-02T17:00:35Z,Awaiting Documents,Credit Team
APP-2026-0011,Credit Check,2026-04-02T17:10:25Z,Credit Checked,Credit Team
APP-2026-0027,Receive Application,2026-04-02T17:22:10Z,Received,Intake
APP-2026-0005,Request Documents,2026-04-02T17:52:34Z,Awaiting Documents,Credit Team
APP-2026-0024,Verify Identity,2026-04-02T18:04:20Z,Identity Verified,Intake
APP-2026-0015,Credit Check,2026-04-02T18:05:03Z,Credit Checked,Credit Team
APP-2026-0016,Verify Identity,2026-04-02T18:15:33Z,Identity Verified,Intake
APP-2026-0010,Request Documents,2026-04-02T19:50:03Z,Awaiting Documents,Credit Team
APP-2026-0006,Request Documents,2026-04-02T19:53:04Z,Awaiting Documents,Credit Team
APP-2026-0009,Request Documents,2026-04-02T19:54:20Z,Awaiting Documents,Credit Team
APP-2026-0022,Credit Check,2026-04-02T19:55:44Z,Credit Checked,Credit Team
APP-2026-0023,Credit Check,2026-04-02T20:39:14Z,Credit Checked,Credit Team
APP-2026-0015,Request Documents,2026-04-02T21:16:03Z,Awaiting Documents,Credit Team
APP-2026-0026,Verify Identity,2026-04-02T23:33:18Z,Identity Verified,Intake
APP-2026-0025,Verify Identity,2026-04-03T00:18:00Z,Identity Verified,Intake
APP-2026-0022,Request Documents,2026-04-03T00:36:44Z,Awaiting Documents,Credit Team
APP-2026-0011,Underwrite,2026-04-03T00:44:25Z,Underwritten,Underwriting
APP-2026-0016,Credit Check,2026-04-03T00:55:33Z,Credit Checked,Credit Team
APP-2026-0027,Verify Identity,2026-04-03T01:15:10Z,Identity Verified,Intake
APP-2026-0019,Credit Check,2026-04-03T01:49:35Z,Credit Checked,Credit Team
APP-2026-0023,Request Documents,2026-04-03T02:06:14Z,Awaiting Documents,Credit Team
APP-2026-0012,Credit Check,2026-04-03T06:25:51Z,Credit Checked,Credit Team
APP-2026-0011,Approve Application,2026-04-03T06:51:25Z,Approved,Underwriting
APP-2026-0027,Credit Check,2026-04-03T07:43:10Z,Credit Checked,Credit Team
APP-2026-0021,Credit Check,2026-04-03T07:49:04Z,Credit Checked,Credit Team
APP-2026-0028,Receive Application,2026-04-03T08:07:54Z,Received,Intake
APP-2026-0013,Credit Check,2026-04-03T08:59:38Z,Credit Checked,Credit Team
APP-2026-0029,Receive Application,2026-04-03T09:22:03Z,Received,Intake
APP-2026-0030,Receive Application,2026-04-03T10:09:05Z,Received,Intake
APP-2026-0027,Request Documents,2026-04-03T10:51:10Z,Awaiting Documents,Credit Team
APP-2026-0024,Credit Check,2026-04-03T10:57:20Z,Credit Checked,Credit Team
APP-2026-0012,Request Documents,2026-04-03T11:53:51Z,Awaiting Documents,Credit Team
APP-2026-0031,Receive Application,2026-04-03T11:54:33Z,Received,Intake
APP-2026-0028,Verify Identity,2026-04-03T12:37:54Z,Identity Verified,Intake
APP-2026-0025,Credit Check,2026-04-03T12:52:00Z,Credit Checked,Credit Team
APP-2026-0032,Receive Application,2026-04-03T12:52:13Z,Received,Intake
APP-2026-0033,Receive Application,2026-04-03T13:02:08Z,Received,Intake
APP-2026-0034,Receive Application,2026-04-03T13:11:23Z,Received,Intake
APP-2026-0035,Receive Application,2026-04-03T13:54:25Z,Received,Intake
APP-2026-0029,Verify Identity,2026-04-03T14:02:03Z,Identity Verified,Intake
APP-2026-0021,Request Documents,2026-04-03T14:11:04Z,Awaiting Documents,Credit Team
APP-2026-0036,Receive Application,2026-04-03T14:17:12Z,Received,Intake
APP-2026-0037,Receive Application,2026-04-03T14:54:56Z,Received,Intake
APP-2026-0017,Credit Check,2026-04-03T15:00:12Z,Credit Checked,Credit Team
APP-2026-0018,Credit Check,2026-04-03T15:13:57Z,Credit Checked,Credit Team
APP-2026-0026,Credit Check,2026-04-03T15:20:18Z,Credit Checked,Credit Team
APP-2026-0035,Verify Identity,2026-04-03T15:43:25Z,Identity Verified,Intake
APP-2026-0038,Receive Application,2026-04-03T15:55:25Z,Received,Intake
APP-2026-0031,Verify Identity,2026-04-03T15:57:33Z,Identity Verified,Intake
APP-2026-0017,Request Documents,2026-04-03T16:16:12Z,Awaiting Documents,Credit Team
APP-2026-0019,Underwrite,2026-04-03T16:33:35Z,Underwritten,Underwriting
APP-2026-0020,Credit Check,2026-04-03T16:59:00Z,Credit Checked,Credit Team
APP-2026-0025,Request Documents,2026-04-03T17:20:00Z,Awaiting Documents,Credit Team
APP-2026-0014,Credit Check,2026-04-03T17:21:55Z,Credit Checked,Credit Team
APP-2026-0039,Receive Application,2026-04-03T17:27:20Z,Received,Intake
APP-2026-0032,Verify Identity,2026-04-03T18:10:13Z,Identity Verified,Intake
APP-2026-0030,Verify Identity,2026-04-03T19:04:05Z,Identity Verified,Intake
APP-2026-0018,Request Documents,2026-04-03T19:50:57Z,Awaiting Documents,Credit Team
APP-2026-0036,Verify Identity,2026-04-03T19:55:12Z,Identity Verified,Intake
APP-2026-0034,Verify Identity,2026-04-03T20:49:23Z,Identity Verified,Intake
APP-2026-0038,Verify Identity,2026-04-03T20:51:25Z,Identity Verified,Intake
APP-2026-0033,Verify Identity,2026-04-03T21:07:08Z,Identity Verified,Intake
APP-2026-0014,Request Documents,2026-04-03T21:39:55Z,Awaiting Documents,Credit Team
APP-2026-0039,Verify Identity,2026-04-03T22:39:20Z,Identity Verified,Intake
APP-2026-0035,Credit Check,2026-04-03T22:40:25Z,Credit Checked,Credit Team
APP-2026-0037,Verify Identity,2026-04-03T23:33:56Z,Identity Verified,Intake
APP-2026-0004,Receive Documents,2026-04-04T00:43:38Z,Documents Received,Intake
APP-2026-0006,Receive Documents,2026-04-04T00:44:04Z,Documents Received,Intake
APP-2026-0026,Underwrite,2026-04-04T00:52:18Z,Underwritten,Underwriting
APP-2026-0019,Approve Application,2026-04-04T03:06:35Z,Approved,Underwriting
APP-2026-0028,Credit Check,2026-04-04T04:13:54Z,Credit Checked,Credit Team
APP-2026-0031,Credit Check,2026-04-04T06:08:33Z,Credit Checked,Credit Team
APP-2026-0032,Credit Check,2026-04-04T06:26:13Z,Credit Checked,Credit Team
APP-2026-0005,Receive Documents,2026-04-04T08:33:34Z,Documents Received,Intake
APP-2026-0035,Underwrite,2026-04-04T08:34:25Z,Underwritten,Underwriting
APP-2026-0031,Request Documents,2026-04-04T10:36:33Z,Awaiting Documents,Credit Team
APP-2026-0033,Credit Check,2026-04-04T10:38:08Z,Credit Checked,Credit Team
APP-2026-0032,Request Documents,2026-04-04T10:56:13Z,Awaiting Documents,Credit Team
APP-2026-0030,Credit Check,2026-04-04T11:21:05Z,Credit Checked,Credit Team
APP-2026-0026,Decline Application,2026-04-04T11:45:18Z,Declined,Underwriting
APP-2026-0029,Credit Check,2026-04-04T12:01:03Z,Credit Checked,Credit Team
APP-2026-0024,Underwrite,2026-04-04T12:08:20Z,Underwritten,Underwriting
APP-2026-0034,Credit Check,2026-04-04T13:13:23Z,Credit Checked,Credit Team
APP-2026-0006,Credit Check,2026-04-04T13:29:04Z,Credit Checked,Credit Team
APP-2026-0004,Credit Check,2026-04-04T14:29:38Z,Credit Checked,Credit Team
APP-2026-0016,Underwrite,2026-04-04T15:26:33Z,Underwritten,Underwriting
APP-2026-0033,Request Documents,2026-04-04T15:47:08Z,Awaiting Documents,Credit Team
APP-2026-0034,Request Documents,2026-04-04T16:01:23Z,Awaiting Documents,Credit Team
APP-2026-0030,Request Documents,2026-04-04T16:15:05Z,Awaiting Documents,Credit Team
APP-2026-0006,Request Documents,2026-04-04T17:07:04Z,Awaiting Documents,Credit Team
APP-2026-0039,Credit Check,2026-04-04T17:30:20Z,Credit Checked,Credit Team
APP-2026-0029,Request Documents,2026-04-04T17:49:03Z,Awaiting Documents,Credit Team
APP-2026-0035,Approve Application,2026-04-04T18:47:25Z,Approved,Underwriting
APP-2026-0038,Credit Check,2026-04-04T18:54:25Z,Credit Checked,Credit Team
APP-2026-0037,Credit Check,2026-04-04T19:36:56Z,Credit Checked,Credit Team
APP-2026-0036,Credit Check,2026-04-04T19:44:12Z,Credit Checked,Credit Team
APP-2026-0038,Request Documents,2026-04-04T20:20:25Z,Awaiting Documents,Credit Team
APP-2026-0039,Request Documents,2026-04-05T00:09:20Z,Awaiting Documents,Credit Team
APP-2026-0020,Underwrite,2026-04-05T00:41:00Z,Underwritten,Underwriting
APP-2026-0016,Approve Application,2026-04-05T01:41:33Z,Approved,Underwriting
APP-2026-0037,Underwrite,2026-04-05T01:53:56Z,Underwritten,Underwriting
APP-2026-0009,Receive Documents,2026-04-05T02:08:20Z,Documents Received,Intake
APP-2026-0013,Underwrite,2026-04-05T03:12:38Z,Underwritten,Underwriting
APP-2026-0005,Credit Check,2026-04-05T03:20:34Z,Credit Checked,Credit Team
APP-2026-0037,Approve Application,2026-04-05T04:30:56Z,Approved,Underwriting
APP-2026-0035,Disburse Funds,2026-04-05T06:44:25Z,Disbursed,Payments
APP-2026-0024,Decline Application,2026-04-05T08:05:20Z,Declined,Underwriting
APP-2026-0020,Approve Application,2026-04-05T08:25:00Z,Approved,Underwriting
APP-2026-0013,Approve Application,2026-04-05T09:20:38Z,Approved,Underwriting
APP-2026-0004,Underwrite,2026-04-05T09:23:38Z,Underwritten,Underwriting
APP-2026-0011,Disburse Funds,2026-04-05T15:52:25Z,Disbursed,Payments
APP-2026-0004,Approve Application,2026-04-05T17:17:38Z,Approved,Underwriting
APP-2026-0017,Receive Documents,2026-04-05T17:42:12Z,Documents Received,Intake
APP-2026-0023,Receive Documents,2026-04-05T19:13:14Z,Documents Received,Intake
APP-2026-0019,Disburse Funds,2026-04-05T19:15:35Z,Disbursed,Payments
APP-2026-0014,Receive Documents,2026-04-05T21:38:55Z,Documents Received,Intake
APP-2026-0009,Credit Check,2026-04-05T22:29:20Z,Credit Checked,Credit Team
APP-2026-0028,Underwrite,2026-04-06T01:24:54Z,Underwritten,Underwriting
APP-2026-0009,Request Documents,2026-04-06T01:32:20Z,Awaiting Documents,Credit Team
APP-2026-0028,Approve Application,2026-04-06T02:26:54Z,Approved,Underwriting
APP-2026-0016,Disburse Funds,2026-04-06T05:57:33Z,Disbursed,Payments
APP-2026-0001,Receive Documents,2026-04-06T07:05:31Z,Documents Received,Intake
APP-2026-0028,Disburse Funds,2026-04-06T08:39:54Z,Disbursed,Payments
APP-2026-0040,Receive Application,2026-04-06T09:37:55Z,Received,Intake
APP-2026-0041,Receive Application,2026-04-06T10:39:48Z,Received,Intake
APP-2026-0023,Credit Check,2026-04-06T11:37:14Z,Credit Checked,Credit Team
APP-2026-0042,Receive Application,2026-04-06T12:12:13Z,Received,Intake
APP-2026-0043,Receive Application,2026-04-06T12:20:22Z,Received,Intake
APP-2026-0044,Receive Application,2026-04-06T12:28:30Z,Received,Intake
APP-2026-0023,Request Documents,2026-04-06T12:39:14Z,Awaiting Documents,Credit Team
APP-2026-0040,Verify Identity,2026-04-06T13:19:55Z,Identity Verified,Intake
APP-2026-0017,Credit Check,2026-04-06T13:25:12Z,Credit Checked,Credit Team
APP-2026-0045,Receive Application,2026-04-06T13:28:41Z,Received,Intake
APP-2026-0046,Receive Application,2026-04-06T13:45:48Z,Received,Intake
APP-2026-0047,Receive Application,2026-04-06T15:08:25Z,Received,Intake
APP-2026-0048,Receive Application,2026-04-06T15:23:36Z,Received,Intake
APP-2026-0041,Verify Identity,2026-04-06T15:27:48Z,Identity Verified,Intake
APP-2026-0007,Receive Documents,2026-04-06T15:44:51Z,Documents Received,Intake
APP-2026-0005,Underwrite,2026-04-06T16:04:34Z,Underwritten,Underwriting
APP-2026-0045,Verify Identity,2026-04-06T16:06:41Z,Identity Verified,Intake
APP-2026-0017,Request Documents,2026-04-06T16:13:12Z,Awaiting Documents,Credit Team
APP-2026-0043,Verify Identity,2026-04-06T16:53:22Z,Identity Verified,Intake
APP-2026-0049,Receive Application,2026-04-06T16:59:16Z,Received,Intake
APP-2026-0044,Verify Identity,2026-04-06T17:04:30Z,Identity Verified,Intake
APP-2026-0036,Underwrite,2026-04-06T18:31:12Z,Underwritten,Underwriting
APP-2026-0046,Verify Identity,2026-04-06T18:42:48Z,Identity Verified,Intake
APP-2026-0049,Verify Identity,2026-04-06T18:44:16Z,Identity Verified,Intake
APP-2026-0014,Credit Check,2026-04-06T19:07:55Z,Credit Checked,Credit Team
APP-2026-0042,Verify Identity,2026-04-06T19:12:13Z,Identity Verified,Intake
APP-2026-0005,Approve Application,2026-04-06T20:02:34Z,Approved,Underwriting
APP-2026-0014,Request Documents,2026-04-06T21:11:55Z,Awaiting Documents,Credit Team
APP-2026-0007,Credit Check,2026-04-06T21:45:51Z,Credit Checked,Credit Team
APP-2026-0048,Verify Identity,2026-04-06T22:10:36Z,Identity Verified,Intake
APP-2026-0044,Credit Check,2026-04-06T22:44:30Z,Credit Checked,Credit Team
APP-2026-0001,Credit Check,2026-04-06T22:49:31Z,Credit Checked,Credit Team
APP-2026-0047,Verify Identity,2026-04-06T22:59:25Z,Identity Verified,Intake
APP-2026-0043,Credit Check,2026-04-07T01:03:22Z,Credit Checked,Credit Team
APP-2026-0001,Request Documents,2026-04-07T01:49:31Z,Awaiting Documents,Credit Team
APP-2026-0040,Credit Check,2026-04-07T02:10:55Z,Credit Checked,Credit Team
APP-2026-0049,Credit Check,2026-04-07T03:23:16Z,Credit Checked,Credit Team
APP-2026-0044,Request Documents,2026-04-07T03:49:30Z,Awaiting Documents,Credit Team
APP-2026-0006,Receive Documents,2026-04-07T03:52:04Z,Documents Received,Intake
APP-2026-0036,Approve Application,2026-04-07T04:58:12Z,Approved,Underwriting
APP-2026-0049,Request Documents,2026-04-07T06:14:16Z,Awaiting Documents,Credit Team
APP-2026-0046,Credit Check,2026-04-07T07:07:48Z,Credit Checked,Credit Team
APP-2026-0043,Request Documents,2026-04-07T07:44:22Z,Awaiting Documents,Credit Team
APP-2026-0040,Underwrite,2026-04-07T07:51:55Z,Underwritten,Underwriting
APP-2026-0021,Receive Documents,2026-04-07T08:52:04Z,Documents Received,Intake
APP-2026-0050,Receive Application,2026-04-07T09:33:52Z,Received,Intake
APP-2026-0047,Credit Check,2026-04-07T09:35:25Z,Credit Checked,Credit Team
APP-2026-0051,Receive Application,2026-04-07T09:53:02Z,Received,Intake
APP-2026-0052,Receive Application,2026-04-07T10:25:14Z,Received,Intake
APP-2026-0053,Receive Application,2026-04-07T10:31:11Z,Received,Intake
APP-2026-0054,Receive Application,2026-04-07T11:09:21Z,Received,Intake
APP-2026-0055,Receive Application,2026-04-07T11:30:11Z,Received,Intake
APP-2026-0056,Receive Application,2026-04-07T11:33:36Z,Received,Intake
APP-2026-0041,Credit Check,2026-04-07T11:56:48Z,Credit Checked,Credit Team
APP-2026-0054,Verify Identity,2026-04-07T12:14:21Z,Identity Verified,Intake
APP-2026-0057,Receive Application,2026-04-07T12:56:46Z,Received,Intake
APP-2026-0058,Receive Application,2026-04-07T13:13:23Z,Received,Intake
APP-2026-0045,Credit Check,2026-04-07T13:21:41Z,Credit Checked,Credit Team
APP-2026-0050,Verify Identity,2026-04-07T13:21:52Z,Identity Verified,Intake
APP-2026-0046,Request Documents,2026-04-07T14:02:48Z,Awaiting Documents,Credit Team
APP-2026-0059,Receive Application,2026-04-07T14:07:17Z,Received,Intake
APP-2026-0057,Verify Identity,2026-04-07T14:10:46Z,Identity Verified,Intake
APP-2026-0058,Verify Identity,2026-04-07T14:14:23Z,Identity Verified,Intake
APP-2026-0060,Receive Application,2026-04-07T14:22:13Z,Received,Intake
APP-2026-0061,Receive Application,2026-04-07T14:23:00Z,Received,Intake
APP-2026-0055,Verify Identity,2026-04-07T14:32:11Z,Identity Verified,Intake
APP-2026-0039,Receive Documents,2026-04-07T14:32:20Z,Documents Received,Intake
APP-2026-0062,Receive Application,2026-04-07T14:32:54Z,Received,Intake
APP-2026-0056,Verify Identity,2026-04-07T14:52:36Z,Identity Verified,Intake
APP-2026-0003,Receive Documents,2026-04-07T14:59:29Z,Documents Received,Intake
APP-2026-0053,Verify Identity,2026-04-07T15:09:11Z,Identity Verified,Intake
APP-2026-0041,Request Documents,2026-04-07T15:48:48Z,Awaiting Documents,Credit Team
APP-2026-0052,Verify Identity,2026-04-07T16:00:14Z,Identity Verified,Intake
APP-2026-0063,Receive Application,2026-04-07T16:04:06Z,Received,Intake
APP-2026-0042,Credit Check,2026-04-07T16:35:13Z,Credit Checked,Credit Team
APP-2026-0037,Disburse Funds,2026-04-07T16:35:56Z,Disbursed,Payments
APP-2026-0020,Disburse Funds,2026-04-07T17:33:00Z,Disbursed,Payments
APP-2026-0059,Verify Identity,2026-04-07T17:40:17Z,Identity Verified,Intake
APP-2026-0064,Receive Application,2026-04-07T17:44:17Z,Received,Intake
APP-2026-0045,Request Documents,2026-04-07T17:48:41Z,Awaiting Documents,Credit Team
APP-2026-0051,Verify Identity,2026-04-07T18:07:02Z,Identity Verified,Intake
APP-2026-0063,Verify Identity,2026-04-07T18:26:06Z,Identity Verified,Intake
APP-2026-0062,Verify Identity,2026-04-07T19:08:54Z,Identity Verified,Intake
APP-2026-0008,Receive Documents,2026-04-07T19:55:35Z,Documents Received,Intake
APP-2026-0061,Verify Identity,2026-04-07T20:16:00Z,Identity Verified,Intake
APP-2026-0064,Verify Identity,2026-04-07T20:29:17Z,Identity Verified,Intake
APP-2026-0060,Verify Identity,2026-04-07T20:43:13Z,Identity Verified,Intake
APP-2026-0048,Credit Check,2026-04-07T21:01:36Z,Credit Checked,Credit Team
APP-2026-0062,Credit Check,2026-04-07T21:09:54Z,Credit Checked,Credit Team
APP-2026-0004,Disburse Funds,2026-04-07T21:10:38Z,Disbursed,Payments
APP-2026-0057,Credit Check,2026-04-07T21:22:46Z,Credit Checked,Credit Team
APP-2026-0023,Receive Documents,2026-04-07T21:24:14Z,Documents Received,Intake
APP-2026-0054,Credit Check,2026-04-07T21:25:21Z,Credit Checked,Credit Team
APP-2026-0050,Credit Check,2026-04-07T22:39:52Z,Credit Checked,Credit Team
APP-2026-0062,Request Documents,2026-04-07T23:01:54Z,Awaiting Documents,Credit Team
APP-2026-0031,Receive Documents,2026-04-07T23:32:33Z,Documents Received,Intake
APP-2026-0042,Request Documents,2026-04-07T23:34:13Z,Awaiting Documents,Credit Team
APP-2026-0059,Credit Check,2026-04-07T23:34:17Z,Credit Checked,Credit Team
APP-2026-0048,Request Documents,2026-04-08T00:21:36Z,Awaiting Documents,Credit Team
APP-2026-0050,Request Documents,2026-04-08T01:11:52Z,Awaiting Documents,Credit Team
APP-2026-0063,Credit Check,2026-04-08T01:23:06Z,Credit Checked,Credit Team
APP-2026-0006,Credit Check,2026-04-08T01:30:04Z,Credit Checked,Credit Team
APP-2026-0052,Credit Check,2026-04-08T02:19:14Z,Credit Checked,Credit Team
APP-2026-0040,Decline Application,2026-04-08T02:48:55Z,Declined,Underwriting
APP-2026-0013,Disburse Funds,2026-04-08T02:55:38Z,Disbursed,Payments
APP-2026-0051,Credit Check,2026-04-08T03:06:02Z,Credit Checked,Credit Team
APP-2026-0063,Request Documents,2026-04-08T03:23:06Z,Awaiting Documents,Credit Team
APP-2026-0059,Request Documents,2026-04-08T03:30:17Z,Awaiting Documents,Credit Team
APP-2026-0057,Request Documents,2026-04-08T03:31:46Z,Awaiting Documents,Credit Team
APP-2026-0052,Request Documents,2026-04-08T05:12:14Z,Awaiting Documents,Credit Team
APP-2026-0017,Withdraw Application,2026-04-08T06:12:12Z,Withdrawn,Intake
APP-2026-0061,Credit Check,2026-04-08T07:02:00Z,Credit Checked,Credit Team
APP-2026-0058,Credit Check,2026-04-08T07:21:23Z,Credit Checked,Credit Team
APP-2026-0051,Request Documents,2026-04-08T07:41:02Z,Awaiting Documents,Credit Team
APP-2026-0055,Credit Check,2026-04-08T08:02:11Z,Credit Checked,Credit Team
APP-2026-0001,Receive Documents,2026-04-08T08:08:31Z,Documents Received,Intake
APP-2026-0065,Receive Application,2026-04-08T08:11:44Z,Received,Intake
APP-2026-0066,Receive Application,2026-04-08T08:23:45Z,Received,Intake
APP-2026-0061,Request Documents,2026-04-08T08:33:00Z,Awaiting Documents,Credit Team
APP-2026-0067,Receive Application,2026-04-08T08:37:25Z,Received,Intake
APP-2026-0021,Credit Check,2026-04-08T08:56:04Z,Credit Checked,Credit Team
APP-2026-0039,Credit Check,2026-04-08T09:09:20Z,Credit Checked,Credit Team
APP-2026-0058,Request Documents,2026-04-08T09:11:23Z,Awaiting Documents,Credit Team
APP-2026-0068,Receive Application,2026-04-08T09:18:56Z,Received,Intake
APP-2026-0069,Receive Application,2026-04-08T09:30:17Z,Received,Intake
APP-2026-0007,Underwrite,2026-04-08T09:30:51Z,Underwritten,Underwriting
APP-2026-0064,Credit Check,2026-04-08T09:33:17Z,Credit Checked,Credit Team
APP-2026-0056,Credit Check,2026-04-08T09:42:36Z,Credit Checked,Credit Team
APP-2026-0001,Credit Check,2026-04-08T10:16:31Z,Credit Checked,Credit Team
APP-2026-0070,Receive Application,2026-04-08T10:31:18Z,Received,Intake
APP-2026-0055,Request Documents,2026-04-08T10:37:11Z,Awaiting Documents,Credit Team
APP-2026-0038,Receive Documents,2026-04-08T10:51:25Z,Documents Received,Intake
APP-2026-0071,Receive Application,2026-04-08T11:10:09Z,Received,Intake
APP-2026-0069,Verify Identity,2026-04-08T11:19:17Z,Identity Verified,Intake
APP-2026-0067,Verify Identity,2026-04-08T11:20:25Z,Identity Verified,Intake
APP-2026-0053,Credit Check,2026-04-08T11:25:11Z,Credit Checked,Credit Team
APP-2026-0031,Credit Check,2026-04-08T11:42:33Z,Credit Checked,Credit Team
APP-2026-0043,Receive Documents,2026-04-08T11:44:22Z,Documents Received,Intake
APP-2026-0072,Receive Application,2026-04-08T11:47:55Z,Received,Intake
APP-2026-0007,Approve Application,2026-04-08T11:53:51Z,Approved,Underwriting
APP-2026-0003,Credit Check,2026-04-08T12:19:29Z,Credit Checked,Credit Team
APP-2026-0064,Request Documents,2026-04-08T12:35:17Z,Awaiting Documents,Credit Team
APP-2026-0012,Receive Documents,2026-04-08T12:45:51Z,Documents Received,Intake
APP-2026-0031,Request Documents,2026-04-08T13:07:33Z,Awaiting Documents,Credit Team
APP-2026-0008,Credit Check,2026-04-08T13:33:35Z,Credit Checked,Credit Team
APP-2026-0073,Receive Application,2026-04-08T14:01:37Z,Received,Intake
APP-2026-0056,Request Documents,2026-04-08T14:28:36Z,Awaiting Documents,Credit Team
APP-2026-0065,Verify Identity,2026-04-08T14:56:44Z,Identity Verified,Intake
APP-2026-0074,Receive Application,2026-04-08T15:14:13Z,Received,Intake
APP-2026-0053,Request Documents,2026-04-08T15:21:11Z,Awaiting Documents,Credit Team
